oewn_id	dulplus_class	source	framester_id	pos	ili	primary_lemma	definition
oewn-11903797-n	dul:Organism	propagated	synset-wallflower-noun-2	n	i99702	wallflower	perennial of southern Europe having clusters of fragrant flowers of all colors especially yellow and orange; often naturalized on old walls or cliffs; sometimes placed in genus Erysimum
oewn-11904097-n	dul:Organism	propagated	synset-prairie_rocket-noun-2	n	i99703	prairie rocket	any of several western American plants of the genus Cheiranthus having large yellow flowers
oewn-11904414-n	dul:Organism	propagated	synset-scurvy_grass-noun-1	n	i99705	scurvy grass	a widely distributed Arctic cress reputed to have value in treatment or prevention of scurvy; a concentrated source of vitamin C
oewn-11904853-n	dul:Organism	propagated	synset-sea_kale-noun-1	n	i99707	sea kale	perennial of coastal sands and shingles of northern Europe and Baltic and Black Seas having racemes of small white flowers and large fleshy blue-green leaves often used as potherbs
oewn-11905436-n	dul:Organism	propagated	synset-tansy_mustard-noun-1	n	i99709	tansy mustard	North American herb with bitter-tasting pinnate leaves resembling those of tansy
oewn-11905761-n	dul:Organism	propagated	synset-wall_rocket-noun-1	n	i99711	wall rocket	yellow-flowered European plant that grows on old walls and in waste places; an adventive weed in North America
oewn-11905993-n	dul:Organism	propagated	synset-white_rocket-noun-1	n	i99712	white rocket	from Mediterranean region; a naturalized weed throughout southern Europe
oewn-11906325-n	dul:Organism	propagated	synset-draba-noun-1	n	i99714	draba	any of numerous low-growing cushion-forming plants of the genus Draba having rosette-forming leaves and terminal racemes of small flowers with scapose or leafy stems; fruit is a dehiscent oblong or li
oewn-11906626-n	dul:Organism	propagated	synset-whitlow_grass-noun-1	n	i99715	whitlow grass	annual weed of Europe and North America having a rosette of basal leaves and tiny flowers followed by oblong seed capsules
oewn-11907006-n	dul:Organism	propagated	synset-rocket-noun-3	n	i99717	rocket	erect European annual often grown as a salad crop to be harvested when young and tender
oewn-11907588-n	dul:Organism	propagated	synset-wallflower-noun-1	n	i99719	wallflower	any of numerous plants of the genus Erysimum having fragrant yellow or orange or brownish flowers
oewn-11907779-n	dul:Organism	propagated	synset-prairie_rocket-noun-1	n	i99720	prairie rocket	any of several North American plants of the genus Erysimum having large yellow flowers
oewn-11907945-n	dul:Organism	propagated	synset-Siberian_wall_flower-noun-1	n	i99721	Siberian wall flower	showy erect biennial or short-lived perennial cultivated for its terminal racemes of orange-yellow flowers; sometimes placed in genus Cheiranthus
oewn-11908219-n	dul:Organism	propagated	synset-western_wall_flower-noun-1	n	i99722	western wall flower	biennial or short-lived perennial prairie rocket having orange-yellow flowers; western North America to Minnesota and Kansas; sometimes placed in genus Cheiranthus
oewn-11908530-n	dul:Organism	propagated	synset-wormseed_mustard-noun-1	n	i99723	wormseed mustard	slender yellow-flowered European mustard often troublesome as a weed; formerly used as an anthelmintic
oewn-11908893-n	dul:Organism	propagated	synset-heliophila-noun-1	n	i99725	heliophila	any of various South African herbs and subshrubs cultivated for long showy racemes of bright blue flowers with white eyes
oewn-11909269-n	dul:Organism	propagated	synset-damask_violet-noun-1	n	i99727	damask violet	long cultivated herb having flowers whose scent is more pronounced in the evening; naturalized throughout Europe to Siberia and into North America
oewn-11909674-n	dul:Organism	propagated	synset-tansy-leaved_rocket-noun-1	n	i99729	tansy-leaved rocket	perennial stellate and hairy herb with small yellow flowers of mountains of southern Europe; sometimes placed in genus Sisymbrium
oewn-11910088-n	dul:Organism	propagated	synset-candytuft-noun-1	n	i99731	candytuft	any of various flowering plants of the genus Iberis cultivated for their showy clusters of white to red or purple flowers; native to Mediterranean region
oewn-11910491-n	dul:Organism	propagated	synset-woad-noun-2	n	i99733	woad	any of several herbs of the genus Isatis
oewn-11910976-n	dul:Organism	propagated	synset-common_garden_cress-noun-1	n	i99736	common garden cress	annual herb used as salad green and garnish
oewn-11911353-n	dul:Organism	propagated	synset-bladderpod-noun-4	n	i99738	bladderpod	any of several hairy North American herbs having yellow racemose flowers and inflated pods
oewn-11911644-n	dul:Organism	propagated	synset-sweet_alyssum-noun-1	n	i99740	sweet alyssum	perennial European plant having clusters of small fragrant usually white flowers; widely grown in gardens
oewn-11912010-n	dul:Organism	propagated	synset-honesty-noun-2	n	i99742	honesty	southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration
oewn-11912498-n	dul:Organism	propagated	synset-Malcolm_stock-noun-1	n	i99744	Malcolm stock	any of various ornamental flowering plants of the genus Malcolmia
oewn-11912650-n	dul:Organism	propagated	synset-Virginian_stock-noun-1	n	i99745	Virginian stock	erect branching herb cultivated for its loose racemes of fragrant white or pink or red or lilac flowers; native to sands and sea cliffs of southwestern Greece and southern Albania
oewn-11913106-n	dul:Organism	propagated	synset-stock-noun-12	n	i99747	stock	any of several Old World plants cultivated for their brightly colored flowers
oewn-11913286-n	dul:Organism	propagated	synset-brompton_stock-noun-1	n	i99748	brompton stock	European plant with racemes of sweet-scented flowers; widely cultivated as an ornamental
oewn-11913600-n	dul:Organism	propagated	synset-common_watercress-noun-1	n	i99750	common watercress	perennial Eurasian cress growing chiefly in springs or running water having fleshy pungent leaves used in salads or as a potherb or garnish; introduced in North America and elsewhere
oewn-11914109-n	dul:Organism	propagated	synset-bladderpod-noun-3	n	i99752	bladderpod	any of several plants of the genus Physaria having racemose yellow flowers and inflated pods
oewn-11914385-n	dul:Organism	propagated	synset-chamois_cress-noun-1	n	i99754	chamois cress	small tufted perennial herb of mountains of central and southern Europe having very small flowers of usually leafless stems; sometimes placed in genus Lepidium
oewn-11914796-n	dul:Organism	propagated	synset-radish_plant-noun-1	n	i99756	radish plant	a cruciferous plant of the genus Raphanus having a pungent edible root
oewn-11915027-n	dul:Organism	propagated	synset-jointed_charlock-noun-1	n	i99757	jointed charlock	Eurasian weed having yellow or mauve or white flowers and podlike fruits
oewn-11915239-n	dul:Organism	propagated	synset-radish-noun-4	n	i99758	radish	Eurasian plant widely cultivated for its edible pungent root usually eaten raw
