oewn_id	pos	primary_lemma	gloss	assigned_class	method	manual_agreement
oewn-03159196-a	a	asphaltic	containing asphalt	dul:Quality	phase4_A2_pertainym_default	
oewn-03162312-a	a	malted	of grain that has been converted into malt	dul:Quality	phase4_A3_participial_default	
oewn-03169271-n	n	davenport	a large sofa usually convertible into a bed	dul:DesignedArtifact	phase1_propagated	
oewn-03229941-n	n	dose	a measured portion of medicine taken at any one time	dul:FunctionalSubstance	phase1_propagated	
oewn-03537367-n	n	hood ornament	an ornament on the front of the hood of a car emblematic of the manufacturer	dul:DesignedArtifact	phase1_propagated	
oewn-03573092-n	n	Indian club	a bottle-shaped club used in exercises	dul:DesignedArtifact	phase1_propagated	
oewn-04565764-n	n	water closet	a toilet in Britain	dul:DesignedArtifact	phase1_propagated	
oewn-04901639-n	n	lightheadedness	a frivolous lack of prudence	dul:Quality	phase1_propagated	
oewn-04998860-n	n	meter	rhythm as given by division into parts of equal duration	dul:Quality	phase1_propagated	
oewn-05159765-n	n	impracticality	concerned with theoretical possibilities rather than actual use	dul:Quality	phase1_propagated	
oewn-05219877-n	n	relativity	the quality of being relative and having significance only in relation to something else	dul:Quality	phase1_propagated	
oewn-05991605-n	n	intention	(usually plural) the goal with respect to a marriage proposal	dul:Goal	phase1_propagated	
oewn-06065060-n	n	pharmacokinetics	the study of the action of drugs in the body: method and rate of excretion, duration of effect, etc.	ontopic:Topic	phase1_propagated	
oewn-06232435-n	n	agnosticism	a religious orientation of doubt; a denial of ultimate knowledge of the existence of God	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	phase1_propagated	
oewn-06234201-n	n	tritheism	(Christianity) the heretical belief that the Father and the Son and the Holy Spirit are three separate gods	coll:InformationCollection	phase1_propagated	
oewn-06331794-n	n	modifier	a content word that qualifies the meaning of a noun or verb	dul:Relation	phase1_propagated	
oewn-06355208-n	n	place name	the name by which a geographical place is known	dul:Relation	phase1_propagated	
oewn-06373667-n	n	hieratic	a cursive form of Egyptian hieroglyphics; used especially by the priests	dul:InformationRealization	phase1_propagated	
oewn-06969880-n	n	Volgaic	a historical grouping of the Finnic languages including Mordvinian and Mari	dul:InformationObject	phase1_propagated	
oewn-07180429-n	n	preliminary prospectus	a first draft of a prospectus; must be clearly marked to indicate that parts may be changed in the final prospectus	dul:InformationRealization	phase1_propagated	
oewn-07219061-n	n	denial	the act of refusing to comply (as with a request)	dul:Action	phase1_propagated	
oewn-07262593-n	n	public relations	a promotion intended to create goodwill for a person or institution	ontopic:Topic	phase1_propagated	
oewn-07562685-n	n	misology	hatred of reasoning	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	phase1_propagated	
oewn-07637670-n	n	baked goods	foods (like breads and cakes and pastries) that are cooked in an oven	dul:FunctionalSubstance	phase1_propagated	
oewn-07854417-n	n	marinara	sauce for pasta; contains tomatoes and garlic and herbs	dul:FunctionalSubstance	phase1_propagated	
oewn-07959756-n	n	age group	a group of people having approximately the same age	coll:AgentCollection	phase1_propagated	
oewn-08507412-n	n	base	the place where you are stationed and from which missions start and end	dul:Place	phase1_topmapping	
oewn-08535652-n	n	campus	a field on which the buildings of a university are situated	dul:Place	phase1_propagated	
oewn-09923389-n	n	censor	someone who censures or condemns	dul:Person	phase1_propagated	
oewn-10147553-n	n	geometer	a mathematician specializing in geometry	dul:Person	phase1_propagated	
oewn-10300642-n	n	magistrate	a lay judge or civil authority who administers the law (especially one who conducts a court dealing with minor offenses)	dul:Person	phase1_propagated	
oewn-10571914-n	n	Satanist	an adherent of Satan or Satanism	dul:Person	phase1_propagated	
oewn-10746823-n	n	trawler	a fisherman who use a trawl net	dul:Person	phase1_propagated	
oewn-10810755-n	n	working girl	a young woman who is employed	dul:Person	phase1_propagated	
oewn-11961384-n	n	swampy beggar-ticks	bur marigold of eastern and northern United States and Canada common in wet pastures and meadows	dul:Organism	phase1_propagated	
oewn-12370228-n	n	Medinilla magnifica	a beautiful tropical evergreen epiphytic shrub grown for its lush foliage and huge panicles of pink flowers; Philippines	dul:Organism	phase1_propagated	
oewn-13186450-n	n	mixed bud	a bud yielding both leaves and flowers	dul:BiologicalObject	phase1_propagated	
oewn-13392203-n	n	valuable	something of value	dul:Right	phase1_propagated	
oewn-13405514-n	n	old-age pension	a monthly payment made to someone who is retired from work	dul:Right	phase1_propagated	
oewn-13496741-n	n	erosion	(geology) the mechanical process of wearing or grinding something down (as by particles washing over it), also figuratively	dul:Process	phase1_propagated	
oewn-13610884-n	n	equilibrium constant	(chemistry) the ratio of concentrations when equilibrium is reached in a reversible reaction (when the rate of the forward reaction equals the rate of the reverse reaction)	dul:Amount	phase1_propagated	
oewn-13672065-n	n	yard	a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride	dul:Amount	phase1_propagated	
oewn-14315063-n	n	dislocation	a displacement of a part (especially a bone) from its normal position (as in the shoulder or the vertebral column)	dul:Situation	phase1_propagated	
oewn-14411380-n	n	maladjustment	the condition of being unable to adapt properly to your environment with resulting emotional instability	dul:Situation	phase1_propagated	
oewn-14868156-n	n	ocher	any of various earths containing silica and alumina and ferric oxide; used as a pigment	dul:FunctionalSubstance	phase1_propagated	
oewn-15127793-n	n	wolframite	a mineral consisting of iron and manganese tungstate in crystalline form; the principal ore of tungsten; found in quartz veins associated with granitic rocks	dul:FunctionalSubstance	phase1_propagated	
oewn-86191087-n	n	Mongolian race	an Asian race	dul:Collection	phase1_propagated	
oewn-90009391-v	v	screenshot	to capture an image from a computer's display	dul:Action	phase3_propagated_from_hypernym	
